"Date","Price","Open","High","Low","Vol.","Change %"
"28/05/2025","99.88","99.53","99.96","99.44","0.00K","0.36%"
"27/05/2025","99.52","98.96","99.61","98.78","0.00K","0.41%"
"26/05/2025","99.11","99.09","99.16","98.69","0.00K","0.00%"
"23/05/2025","99.11","99.88","99.94","99.05","","-0.85%"
"22/05/2025","99.96","99.64","100.12","99.44","0.00K","0.40%"
"21/05/2025","99.56","99.99","99.99","99.34","0.00K","-0.56%"
"20/05/2025","100.12","100.43","100.58","100.01","0.00K","-0.31%"
"19/05/2025","100.43","100.90","100.90","100.06","0.00K","-0.66%"
"16/05/2025","101.09","100.77","101.26","100.52","","0.21%"
"15/05/2025","100.88","100.97","101.06","100.59","0.00K","-0.16%"
"14/05/2025","101.04","100.95","101.14","100.27","0.00K","0.04%"
"13/05/2025","101.00","101.72","101.76","100.91","0.00K","-0.77%"
"12/05/2025","101.79","100.69","101.98","100.51","0.00K","1.44%"
"09/05/2025","100.34","100.64","100.86","100.09","","-0.30%"
"08/05/2025","100.64","99.85","100.76","99.61","0.00K","1.03%"
"07/05/2025","99.61","99.50","99.97","99.29","0.00K","0.38%"
"06/05/2025","99.24","99.83","100.10","99.17","0.00K","-0.59%"
"05/05/2025","99.83","100.00","100.05","99.46","","-0.20%"
"02/05/2025","100.03","100.18","100.33","99.40","","-0.22%"
"01/05/2025","100.25","99.65","100.38","99.61","","0.78%"
"30/04/2025","99.47","99.17","99.71","99.14","","0.23%"
"29/04/2025","99.24","99.04","99.37","98.95","","0.23%"
"28/04/2025","99.01","99.61","99.84","98.90","","-0.46%"
"25/04/2025","99.47","99.41","99.89","99.40","","0.09%"
"24/04/2025","99.38","99.75","99.84","99.22","","-0.47%"
"23/04/2025","99.84","99.48","99.94","98.86","","0.94%"
"22/04/2025","98.92","98.30","99.64","98.01","","0.65%"
"21/04/2025","98.28","99.08","99.21","97.92","","-1.10%"
"17/04/2025","99.38","99.23","99.75","99.22","","0.00%"
"16/04/2025","99.38","100.06","100.10","99.17","","-0.83%"
"15/04/2025","100.21","99.81","100.28","99.48","","0.58%"
"14/04/2025","99.64","100.02","100.16","99.21","","-0.46%"
"11/04/2025","100.10","100.78","100.78","99.01","","-0.76%"
"10/04/2025","100.87","102.99","103.03","100.70","","-1.98%"
"09/04/2025","102.90","102.75","103.33","101.84","","-0.05%"
"08/04/2025","102.96","103.43","103.44","102.75","","-0.29%"
"07/04/2025","103.26","103.07","103.54","102.18","","0.23%"
"04/04/2025","103.02","101.99","103.18","101.54","","0.93%"
"03/04/2025","102.07","103.15","103.38","101.27","","-1.67%"
"02/04/2025","103.81","104.20","104.31","103.37","","-0.43%"
"01/04/2025","104.26","104.18","104.37","104.02","","0.05%"
"31/03/2025","104.21","104.01","104.39","103.75","","0.16%"
"28/03/2025","104.04","104.28","104.50","103.90","","-0.28%"
"27/03/2025","104.33","104.65","104.65","104.07","","-0.20%"
"26/03/2025","104.55","104.25","104.68","104.18","","0.35%"
"25/03/2025","104.18","104.33","104.47","103.94","","-0.07%"
"24/03/2025","104.26","104.15","104.44","103.84","","0.17%"
"21/03/2025","104.09","103.78","104.22","103.76","","0.23%"
"20/03/2025","103.85","103.43","104.13","103.32","","0.41%"
"19/03/2025","103.43","103.27","103.91","103.25","","0.18%"
"18/03/2025","103.24","103.44","103.68","103.20","","-0.12%"
"17/03/2025","103.37","103.74","103.81","103.30","","-0.34%"
"14/03/2025","103.72","103.83","104.09","103.57","","-0.11%"
"13/03/2025","103.83","103.61","104.08","103.51","","0.21%"
"12/03/2025","103.61","103.42","103.78","103.35","","0.31%"
"11/03/2025","103.29","103.84","103.92","103.22","","-0.66%"
"10/03/2025","103.97","103.90","104.06","103.56","","0.13%"
"07/03/2025","103.84","104.11","104.24","103.46","","-0.22%"
"06/03/2025","104.06","104.32","104.39","103.76","","-0.23%"
